Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35519,The Power of Myth,Joseph Campbell,"Campbell, Joseph",Bill Moyers,"=""0385418868""","=""9780385418867""",5,4.26,Anchor,Paperback,293,1988,1988,2024/09/29,2024/07/21,favorites,favorites (#6),read,,,,1,0
17343,Till We Have Faces,C.S. Lewis,"Lewis, C.S.",,"=""""","=""""",0,4.19,Harcourt Paperbacks,Paperback,313,2006,1956,2024/06/27,2022/05/30,"classics, favorites","classics (#13), favorites (#5)",read,,,,1,0
53444195,La vida invisible de Addie LaRue,Victoria E. Schwab,"Schwab, Victoria E.","Patricia Sebastián Hernández, Jennifer Hanover","=""8416517371""","=""9788416517374""",0,4.18,Umbriel,Paperback,500,2020,2020,,2024/10/20,"to-read, fantasy","to-read (#1154), fantasy (#97)",to-read,,,,0,0
8487890,The Flavour Thesaurus,Niki Segnit,"Segnit, Niki",,"=""0747599777""","=""9780747599777""",0,4.26,Bloomsbury Publishing PLC,Hardcover,400,2010,2010,,2024/10/20,to-read,to-read (#1153),to-read,,,,0,0
40916679,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"Jackson, Holly",,"=""1405293187""","=""9781405293181""",0,4.31,Electric Monkey,Paperback,387,2019,2019,2024/10/19,2024/08/27,book-club-pintate,book-club-pintate (#1),read,,,,1,0
58065439,The Anti-Viral Gut: Tackling Pathogens from the Inside Out,Robynne Chutkan MD,"MD, Robynne Chutkan",,"=""0593420837""","=""9780593420836""",0,4.14,Avery,Hardcover,272,2022,,,2024/10/16,to-read,to-read (#1152),to-read,,,,0,0
32720117,...Flying Saucers Are Real!,Jack Womack,"Womack, Jack","William Gibson, Michael P. Daley","=""1944860002""","=""9781944860004""",0,4.21,Anthology Editions,Paperback,285,2016,2016,,2024/10/16,to-read,to-read (#1151),to-read,,,,0,0
28260382,"Frostgrave: Forgotten Pacts (Frostgrave, 3)",Joseph A. McCullough,"McCullough, Joseph A.",Dmitry Burmak,"=""1472815777""","=""9781472815774""",0,4.21,Osprey Games,Paperback,64,2016,2016,,2024/10/16,"to-read, games","to-read (#1150), games (#1)",to-read,,,,0,0
28927365,Radical Mycology: A Treatise On Seeing & Working With Fungi,Peter McCoy,"McCoy, Peter",,"=""0986399604""","=""9780986399602""",0,4.76,Chthaeus Press,Paperback,672,2016,,,2024/10/12,to-read,to-read (#1149),to-read,,,,0,0
55333765,"The Ride of Her Life: The True Story of a Woman, Her Horse, and Their Last-Chance Journey Across America",Elizabeth Letts,"Letts, Elizabeth",,"=""0525619321""","=""9780525619321""",0,4.23,Ballantine Books,Hardcover,336,2021,2021,,2024/10/11,to-read,to-read (#1148),to-read,,,,0,0
36288143,Brotopia: Breaking Up the Boys' Club of Silicon Valley,Emily  Chang,"Chang, Emily",,"=""0735213542""","=""9780735213548""",0,4.01,Portfolio,Kindle Edition,335,2018,2018,,2024/10/11,to-read,to-read (#1147),to-read,,,,0,0
216247493,Same Bed Different Dreams,Ed Park,"Park, Ed",,"=""0812988329""","=""9780812988321""",0,3.77,Random House Trade Paperbacks,Paperback,544,2024,2023,,2024/10/09,to-read,to-read (#1146),to-read,,,,0,0
55279022,"The Shadow of the Gods (Bloodsworn Saga, #1)",John Gwynne,"Gwynne, John",,"=""""","=""""",0,4.22,Orbit,Kindle Edition,500,2021,2021,,2024/10/09,to-read,to-read (#1145),to-read,,,,0,0
43913694,Macbeth,William Shakespeare,"Shakespeare, William","Carmen Kahn, Jack Armstrong","=""0998809101""","=""9780998809106""",0,3.89,Shakespeare Moment by Moment,Paperback,214,2016,1623,,2024/10/09,to-read,to-read (#1144),to-read,,,,0,0
184584595,"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)",Heather Fawcett,"Fawcett, Heather",,"=""0593500156""","=""9780593500156""",0,4.01,Del Rey,Paperback,321,2023,2023,,2024/10/09,to-read,to-read (#1143),to-read,,,,0,0
60880794,The Perfectionist's Guide to Losing Control: A Path to Peace and Power,Katherine Morgan Schafler,"Schafler, Katherine Morgan",,"=""059332952X""","=""9780593329528""",0,4.18,Portfolio,Hardcover,352,2023,2023,,2024/10/08,to-read,to-read (#1142),to-read,,,,0,0
195182079,The Official Stardew Valley Cookbook,ConcernedApe,"ConcernedApe, ConcernedApe",Ryan Novak,"=""1984862057""","=""9781984862051""",0,4.60,Random House Worlds,Hardcover,192,2024,,,2024/10/06,"to-read, food","to-read (#1141), food (#19)",to-read,,,,0,0
53420119,The Unofficial Legend of Zelda Cookbook,Aimee  Wood,"Wood, Aimee",,"=""173447310X""","=""9781734473100""",0,4.69,Aimee Wood Works,Hardcover,328,2020,,,2024/10/06,"to-read, food","to-read (#1140), food (#18)",to-read,,,,0,0
60409964,"The McCartney Legacy, Volume 1: 1969-73",Allan Kozinn,"Kozinn, Allan",Adrian Sinclair,"=""0063000709""","=""9780063000704""",0,4.46,Dey Street Books,Hardcover,720,2022,,,2024/09/29,to-read,to-read (#1139),to-read,,,,0,0
57381285,The Lyrics: 1956 to the Present (Vol. Two-Volume Set),Paul McCartney,"McCartney, Paul",Paul Muldoon,"=""1324091134""","=""9781324091134""",0,4.59,Liveright,Kindle Edition,905,2021,2021,,2024/09/29,to-read,to-read (#1138),to-read,,,,0,0
36613747,How to Change Your Mind: The New Science of Psychedelics,Michael Pollan,"Pollan, Michael",,"=""0241294223""","=""9780241294222""",0,4.27,ALLEN LANE,Hardcover,480,2018,2018,,2024/09/29,to-read,to-read (#1137),to-read,,,,0,0
53343,On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,"Zinsser, William",,"=""0060891548""","=""9780060891541""",0,4.24,Harper Perennial,Paperback,321,2006,1976,,2021/03/20,"writing, to-read, favorites","writing (#2), to-read (#129), favorites (#4)",to-read,,,,0,0
28952759,The Spice Companion: A Guide to the World of Spices: A Cookbook,Lior Lev Sercarz,"Sercarz, Lior Lev",,"=""1101905476""","=""9781101905470""",0,4.30,Clarkson Potter,Kindle Edition,784,2016,,,2024/09/29,"to-read, food","to-read (#1136), food (#17)",to-read,,,,0,0
1308213,20th Century Boys 1,Naoki Urasawa,"Urasawa, Naoki",,"=""3899211529""","=""9783899211528""",0,4.37,Panini Comics - Planet Manga,Paperback,210,2002,2000,,2024/09/29,"to-read, manga","to-read (#1135), manga (#1)",to-read,,,,0,0
56136476,Helgoland: Making Sense of the Quantum Revolution,Carlo Rovelli,"Rovelli, Carlo","Erica Segre, Simon Carnell","=""0593328906""","=""9780593328903""",0,4.08,Riverhead Books,ebook,252,2021,2020,,2022/02/24,"to-read, science","to-read (#432), science (#18)",to-read,,,,0,0
9236485,"Five Dialogues: Eutyphro, Apology, Crito, Meno, Phaedo",Plato,"Plato, Plato",,"=""1603842748""","=""9781603842747""",0,4.16,"Hackett Publishing Company, Inc.",Kindle Edition,166,2002,-385,,2022/07/21,philosophy,philosophy (#17),read,,,,0,0
59012851,Quantum Steampunk: The Physics of Yesterday's Tomorrow,Nicole Yunger Halpern,"Halpern, Nicole Yunger",,"=""1421443724""","=""9781421443720""",0,4.01,Johns Hopkins University Press,Hardcover,312,2022,2022,,2024/09/28,to-read,to-read (#1134),to-read,,,,0,0
43164,The DV Rebel's Guide: An All-Digital Approach to Making Killer Action Movies on the Cheap,Stu Maschwitz,"Maschwitz, Stu",,"=""0321413644""","=""9780321413642""",0,4.23,Peachpit Pr,Paperback,320,2007,2006,,2024/09/21,to-read,to-read (#1133),to-read,,,,0,0
11337,The Bluest Eye,Toni Morrison,"Morrison, Toni",,"=""""","=""""",0,4.12,Plume,Paperback,216,2005,1970,,2024/09/21,favorites,favorites (#3),read,,,,0,0
15196,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,"Spiegelman, Art",,"=""0394541553""","=""9780394541556""",5,4.38,Pantheon Books,Hardcover,159,1991,1986,2016/11/18,2016/11/18,comics,comics (#15),read,"Five stars for an amazing book. Either comic books get brushed off by dedicated readers, or are exclusively read by those who normally hate books; impressively, this book will can be a comfortable fit for comic-book readers and non-comic book readers alike.<br/><br/>This story provides us not just the facts about the Holocaust in the book, but a methodical chronology of the emotions that a particular family experiences throughout the war.<br/><br/>In addition, because of this book, I better the process of parenthood and how growing up can affect what you become as a parent.  From this story, for example, we learn that Vladek, the narrator's (Artie's) dad has an unexplicable tendency to save any money he makes. However, out of the love for his son, he will always provide anything his son asks for.<br/><br/>As for the length of the book (this being part I), the plot will never tire you and there are natural pauses for the reader. This is directly because the artist himself is taking breaks from writing his father's biography. Fortunately, Spiegelman allows the story to flow on its own, as if the words had a life of their own.<br/><br/>",,,1,0
5451112,"The Whatchamacallit: Those Everyday Objects You Just Can't Name (And Things You Think You Know About, but Don't)",Danny Danziger,"Danziger, Danny",Mark McCrum,"=""1401323383""","=""9781401323387""",4,3.55,Hyperion,Hardcover,224,2009,,2011/01/01,2019/01/12,writing,writing (#14),read,,,,1,0
21423243,The Universal Tone: My Life,Carlos Santana,"Santana, Carlos",,"=""0316244910""","=""9780316244916""",0,4.12,"Little, Brown and Company",Kindle Edition,526,2014,2014,,2024/09/18,to-read,to-read (#1132),to-read,,,,0,0
75614877,"That's Bold of You: How To Thrive as Your Most Vibrant, Weird, and Real Self",Case Kenny,"Kenny, Case",,"=""""","=""9798368061641""",0,4.23,Independently published,Paperback,298,2022,,,2024/09/15,to-read,to-read (#1131),to-read,,,,0,0
59011081,The Distributed Classroom,David A. Joyner,"Joyner, David A.",Charles Isbell,"=""026236655X""","=""9780262366557""",0,4.50,The MIT Press,Kindle Edition,359,2021,,,2024/09/15,to-read,to-read (#1130),to-read,,,,0,0
162431,"The Dance of Connection: How to Talk to Someone When You're Mad, Hurt, Scared, Frustrated, Insulted, Betrayed, or Desperate",Harriet Lerner,"Lerner, Harriet",,"=""006095616X""","=""9780060956165""",0,4.06,William Morrow Paperbacks,Paperback,256,2002,2001,,2024/09/15,to-read,to-read (#1129),to-read,,,,0,0
40820204,Gardner's Art Through the Ages: A Global History,Fred S. Kleiner,"Kleiner, Fred S.",,"=""1337630705""","=""9781337630702""",0,4.42,Cengage Learning,Hardcover,1235,2018,2012,,2024/09/10,"to-read, wishlist","to-read (#1128), wishlist (#1)",to-read,,,,0,0
14456,Awakenings,Oliver Sacks,"Sacks, Oliver",,"=""0375704051""","=""9780375704055""",0,4.09,Vintage,Paperback,464,1999,1973,,2024/09/09,to-read,to-read (#1127),to-read,,,,0,0
43269446,The Nickel Boys,Colson Whitehead,"Whitehead, Colson",,"=""0345804341""","=""9780345804341""",0,4.26,Vintage,Paperback,213,2020,2019,,2024/09/09,to-read,to-read (#1126),to-read,,,,0,0
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan","Michael Henry Heim, Richmond Hoxie","=""0571224385""","=""9780571224388""",0,4.11,Harper Perennial,Paperback,314,2009,1984,,2024/09/09,to-read,to-read (#1125),to-read,,,,0,0
31624963,The Evolution of Beauty: How Darwin's Forgotten Theory of Mate Choice Shapes the Animal World—And Us,Richard O. Prum,"Prum, Richard O.",,"=""0385537212""","=""9780385537216""",0,4.06,Doubleday,Hardcover,448,2017,2017,,2024/09/02,to-read,to-read (#1124),to-read,,,,0,0
49476732,Hoy no es siempre: Guía práctica para una crianza respetuosa,Sabrina Critzmann,"Critzmann, Sabrina",,"=""9504968376""","=""9789504968375""",0,4.62,Planeta Argentina,Kindle Edition,412,2019,2019,,2024/08/31,to-read,to-read (#1123),to-read,,,,0,0
62929342,Real Americans,Rachel Khong,"Khong, Rachel",,"=""0593537254""","=""9780593537251""",0,4.01,Knopf,Hardcover,416,2024,2024,,2024/08/29,to-read,to-read (#1122),to-read,,,,0,0
